name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Jim Simons,49,28100,84,M,United States,New York,East Setauket,Finance & Investments,TRUE,Founder,Hedge funds,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Stephen Schwarzman,50,27800,76,M,United States,New York,New York,Finance & Investments,TRUE,Chairman and CEO,Investments,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Susanne Klatten,51,27400,60,F,Germany,NA,Bad Homburg,Automotive,FALSE,NA,"BMW, pharmaceuticals",U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Gina Rinehart,52,27000,69,F,Australia,NA,Perth,Metals & Mining,FALSE,Executive Chairman,Mining,D,132.4661811,8.194588999999993,1690860000000,134120000000,99.13298798,99.13298798,83.2,26014399,3.728,-25.274398,133.775136
William Ding,53,26700,51,M,China,NA,Hangzhou,Technology,TRUE,NA,Online games,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Germán Larrea Mota Velasco & family,54,26600,69,M,Mexico,NA,Mexico City,Metals & Mining,FALSE,NA,Mining,D,166.8903693,12.213697200000013,1464310000000,147740000000,102.0047836,102.0047836,74.832,128613117,3.256,23.634501,-102.552784
Shiv Nadar,55,25600,77,M,India,NA,Delhi,Technology,TRUE,NA,software services,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Low Tuck Kwong,56,25500,74,M,Indonesia,NA,Jakarta,Energy,TRUE,NA,Coal,U,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
Thomas Peterffy,57,25300,78,M,United States,Florida,Palm Beach,Finance & Investments,TRUE,NA,Discount brokerage,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Andrey Melnichenko & family,58,25200,51,M,United Arab Emirates,NA,Ras Al Khaimah,Metals & Mining,TRUE,NA,"Fertilizers, coal",U,118.2894452,5.944428799999997,502732000000,87553000000,NA,NA,79.196,10074977,2.872,23.424076,53.847818
